Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Open Drain,Slew Rate Control
A2,PD10,,ETH_RXD1,Digital,High Impedance,n/a,No,Yes,No,FAST
A3,PD08,,ETH_COL,Digital,High Impedance,n/a,No,No,No,FAST
A4,PD06,,ETH_RXD3,Digital,High Impedance,n/a,No,Yes,No,FAST
A5,PD19,,ETH_RXD6,Digital,High Impedance,n/a,No,No,No,FAST
A6,PD04,,ETH_TXD2,Digital,High Impedance,n/a,No,No,No,FAST
A7,PD16,,ETH_TXD5,Digital,High Impedance,n/a,No,No,No,FAST
A8,PD27,,Available,,,,,,No,FAST
A9,PD03,,ETH_TXD3,Digital,High Impedance,n/a,No,No,No,FAST
A10,PD14,,ETH_TXD7,Digital,High Impedance,n/a,No,No,No,FAST
A11,PD01,,Available,,,,,,No,FAST
A12,PD00,,Available,,,,,,No,FAST
B1,PD12,,ETH_RX_CLK,Digital,High Impedance,n/a,No,Yes,No,FAST
B2,PD11,,ETH_RXD0,Digital,High Impedance,n/a,Yes,No,No,FAST
B3,PD09,,ETH_CRS,Digital,High Impedance,n/a,No,No,No,FAST
B4,PD20,,ETH_RXD4,Digital,High Impedance,n/a,No,No,No,FAST
B5,PD05,,ETH_GTX_CLK,Digital,High Impedance,n/a,No,No,No,FAST
B6,PD18,,ETH_RXD7,Digital,High Impedance,n/a,No,No,No,FAST
B7,PD17,,ETH_TXD4,Digital,High Impedance,n/a,No,No,No,FAST
B8,PD28,,Available,,,,,,No,FAST
B9,PD26,,Available,,,,,,No,FAST
B10,PD02,,ETH_TXER,Digital,High Impedance,n/a,No,No,No,FAST
B11,PD13,,Available,,,,,,No,FAST
C1,PA02,,ETH_TXEN,Digital,High Impedance,n/a,No,No,No,FAST
C2,PA01,,ETH_TXD0,Digital,High Impedance,n/a,No,No,No,FAST
C17,PC19,,Available,,,,,,No,FAST
C18,PC18,,Available,,,,,,No,FAST
